"author_id","author_name"
"8822","A. Merino"
"32128","A. Meuss"
"38961","A. N. Kolmogorov"
"4886","A. Norman Jeffares"
"14205","A. P. Mouritz"
"2763","A. P. Roberts"
"13459","A. P. Vorotnikov"
"38960","A. P. Yushkevich"
"45590","A. Pastore"
"28933","A. Paula Wilson"
"27294","A. Pinkus"
"4929","A. R. Ammons"
"14773","A. R. Jha"
"27758","A. R. Penck"
"32811","A. R. Winters"
"36166","A. R. Wise"
"14052","A. Ribeiro"
"20946","A. S. Hornby"
"6869","A. S. Kompanayets"
"2794","A. S. Leviant"
"43552","A. S. Saidan"
"39780","A. Sahoo"
"28117","A. Sanguineti"
"14460","A. Sankaranarayanan"
"19466","A. Sarja"
"33961","A. Sasekumar"
"2876","A. Selwyn St.Leger"
"41201","A. Smith"
"37016","A. T. Chandler"
"27322","A. T. Fomenko"
"16127","A. T. Robertson"
"41877","A. V. Dicey"
"17701","A. V. Ragulya"
"15051","A. V. Vyazmin"
"11283","A. Veprik"
"38568","A. William Pasculle"
"21505","A. Wright"
"12245","A. de Sa"
"18307","A.-P. Jauho"
"987","A.A. Borisov"
"12566","A.B. Movchan"
"36698","A.C. Bishop"
"12997","A.C. Chang"
"14537","A.D. Trifunac"
"26068","A.E. Fiadone"
"38598","A.G. Adelman"
"15523","A.G. Kirdyashkin"
"16715","A.G. Watts"
"276","A.Glenn Mandeville"
"1320","A.H. Barkawi"
"36665","A.H. Havelaar"
"45742","A.H. Tran"
"44475","A.H.Z. Carr"
"33724","A.J. Banner"
"19535","A.J. Keane"
"36627","A.J. Millar"
"33763","A.J. Withers"
"12687","A.L. Berger"
"40213","A.L. Betz"
"988","A.L. Kuhl"
"39625","A.M. Ehrly"
"30977","A.M. Young"
"12079","A.M.M. Elfeki"
"11022","A.N. Ince"
"42576","A.R. Luther"
"36696","A.R. Woolley"
"11999","A.S. Chirkin"
"40335","A.S. Naidu"
"49213","A.W. Plumstead"
"773","AA Publishing"
"15242","AA. VV."
"15775","AA.Vv."
"42423","ABI ELPHINSTONE"
"5019","ABI Morgan"
"17787","ACHONWA CHINYERE"
"39798","ACSM"
"10841","ACerS (American Ceramic Society)"
"8967","ADAM SCAIFE"
"35075","AIAA"
"831","AIAA (American Institute of Aeronautics and Astronautics)"
"832","AIAA/Asme/Asce/AHS/Asc Structures Structural Dynamics and Materials Conference"
"42980","AMC"
"14746","AMIT KUMAR"
"844","ANDREW MARANTZ"
"26737","ASCII Media Works"
"15112","ASM International"
"13372","ATLANTIC PUBLISHING GROUP"
"47040","AXELOS"
"28610","AYUB KHAN"
"47593","Aa VV"
"1840","Aaha"
"40381","Aamir Ahmad"
"2007","Aana Marie Vigen"
"40157","Aapa"
"31338","Aaron Abano"
"34652","Aaron Auerbach"
"46926","Aaron Baddey"
"43993","Aaron Barlow"
"21748","Aaron Chamberlain"
"4329","Aaron Clarke"
"2107","Aaron Daffern"
"14150","Aaron Frank"
"47472","Aaron Garretson"
"15486","Aaron Graves"
"6320","Aaron Hughes"
"39284","Aaron J. Burwick"
"23139","Aaron Jadober"
"33537","Aaron Jolly"
"41175","Aaron Joy"
"36064","Aaron Landon"
"41292","Aaron Linsdau"
"22142","Aaron Lopresti"
"11970","Aaron Martin"
